Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
132.5,1153.0,277.7,1.2,443.5,20023,182.2,392.62,31700.0,199.1,0.2,2779.39,424332.0,268.3,1.9,2744.77,408600.0,284.5,3061.36,666995.0,172.7,1.0,3133.08,732300.0,210.7
134.72,1233.0,278.7,1.2,470.8,22827,189.2,393.55,32090.0,200.4,0.6,2780.48,424840.0,270.8,1.1,2746.97,409383.0,275.2,3061.82,667569.0,171.6,1.4,3135.28,734408.0,209.6
138.02,1350.0,277.4,0.8,506.4,25994,191.6,395.32,32771.0,200.2,0.3,2781.32,425242.0,270.0,2.5,2746.97,409383.0,274.2,3062.53,668447.0,175.6,0.7,3141.82,739986.0,198.0
141.3,1453.0,279.2,0.9,544.7,29063,188.5,396.42,33161.0,200.1,0.7,2781.96,425569.0,265.4,2.0,2749.17,410206.0,282.6,3062.93,668934.0,178.5,0.7,3146.37,744681.0,185.2
144.05,1552.0,280.0,0.8,554.2,30020,191.7,396.98,33341.0,201.6,0.5,2782.73,425975.0,255.3,1.3,2751.37,411071.0,283.5,3063.64,669751.0,185.5,0.2,3150.68,749152.0,188.8
146.27,1638.0,278.9,0.8,602.3,35009,205.3,397.64,33580.0,200.9,0.6,2783.81,426598.0,252.1,0.7,2755.77,412962.0,274.9,3064.02,670176.0,189.3,0.9,3152.88,751552.0,193.8
149.02,1733.0,278.7,0.7,625.6,37471,209.1,398.61,33913.0,203.6,0.4,2784.88,427285.0,248.2,0.9,2757.97,413948.0,264.9,3064.76,670916.0,192.6,1.0,3155.08,754124.0,197.3
151.2,1812.0,278.0,1.2,700.2,43500,209.1,400.02,34364.0,205.3,0.6,2785.27,427566.0,242.5,1.5,2760.17,414963.0,271.6,3065.12,671286.0,194.6,0.7,3156.18,755354.0,203.4
154.5,1931.0,276.9,0.7,765.0,47336,189.3,405.53,36061.0,208.8,0.3,2787.08,429006.0,219.7,1.7,2762.37,415955.0,276.2,3065.76,671926.0,192.5,0.6,3157.28,756605.0,214.4
157.82,2057.0,276.7,0.8,788.2,48854,188.4,406.6,36378.0,213.0,0.8,2788.03,429876.0,227.2,2.2,2764.57,416965.0,268.5,3066.22,672386.0,194.8,1.0,3158.38,757805.0,225.5
